0.0169, 0, 0.03, 0, 0
0.0208, 0, 0.03, 0, 0
0.031, 0, 0.04, 0, 0.02
0.0504, 0.2, 0.09, 0.03, 0
0.0517, 0.07, 0.03, 0, 0
0.0579, 0, 0.09, 0, 0.01
0.0717, 0.09, 0.22, 0, 0.04
0.0806, 0, 0.06, 0, 0.04
0.0847, 0.03, 0.32, 0, 0.01
0.0943, 0.48, 0.16, 0.36, 0
0.1086, 0.03, 0.04, 0, 0
0.124, 0, 0.08, 0, 0.1
0.1393, 0.03, 0.15, 0, 0
0.1488, 0, 0.14, 0, 0.04
0.1542, 0.1, 0.24, 0, 0.06
0.1612, 0.1, 0.08, 0, 0
0.2042, 0.01, 0.11, 0, 0
0.2097, 0, 0.15, 0, 0.04
0.2172, 0.11, 0.22, 0.11, 0
0.2354, 0.03, 0.47, 0, 0.22
0.2686, 0.04, 0.1, 0, 0
0.2727, 0.06, 0.06, 0, 0
0.2896, 0, 0.02, 0, 0
0.3279, 0.1, 0.26, 0.18, 0.06
0.3689, 0, 0.25, 0, 0.07
0.3893, 0.08, 0.25, 0, 0.01
0.3914, 0.28, 0.53, 0.53, 0.2
0.3992, 0.27, 0.32, 0.19, 0.02
0.4174, 0.23, 0.53, 0.14, 0.39
0.4385, 0, 0.27, 0.11, 0.14
0.4897, 0.35, 0.01, 0.28, 0.07
0.5145, 0, 0.04, 0, 0
0.5348, 0.13, 0.19, 0.21, 0.03
0.5574, 0.07, 0.08, 0, 0
0.5943, 0.32, 0.27, 0.25, 0.09
0.6107, 0.24, 0.39, 0.19, 0.44
0.6168, 0.79, 0.32, 0.67, 0.27
0.6209, 0.032, 0.19, 0, 0.05
0.6446, 0.13, 0.16, 0.15, 0.12
0.6496, 0.4, 0.44, 0.48, 0.17
0.668, 0.15, 0.29, 0.31, 0.26
0.748, 0.68, 0.8, 0.69, 0.91
0.7623, 0, 0.2, 0, 0
0.7643, 0.22, 0.4, 0.3, 0.32
0.7643, 0.09, 0.03, 0, 0.07
0.7686, 0, 0.03, 0, 0.01
0.7807, 0, 0.31, 0.48, 0.33
0.8115, 0.13, 0.17, 0.46, 0.15
0.873, 1, 0.16, 0.95, 0.26
0.9037, 1, 0.36, 0.8, 0.41
